# operator_convention: H_A(k)=H(k+A_x*xhat); Jx=dH/dA_x; Kxx=d2H/dA_x2
# omega Re_sigma_exact Im_sigma_exact Re_sigma_L Im_sigma_L Re_reg_exact Im_reg_exact Re_reg_L Im_reg_L
0.0 -4.052911621848809 -0.0 -4.052911621848784 -0.0 0.06318870564409268 -0.0 0.063188705644134 -0.0
0.001 -4.051934654088192 -0.0641336654281148 -4.051934654088179 -0.06413366542811505 0.06319167900634405 -0.0008240295343527158 0.06319167900637297 -0.0008240295343527229
0.002 -4.049006513567792 -0.1281775400262013 -4.049006513567784 -0.12817754002620166 0.06320060008969328 -0.0016480903752017545 0.06320060008971808 -0.0016480903752015723
0.003 -4.044135468988762 -0.19204225723684315 -4.04413546898875 -0.19204225723684315 0.06321547188452759 -0.0024722138119220648 0.06321547188455648 -0.0024722138119213136
0.004 -4.037335236501063 -0.25563929484592346 -4.037335236501055 -0.2556392948459224 0.06323629937668028 -0.0032964310996008088 0.06323629937670493 -0.003296431099598775
0.005 -4.028624883075195 -0.3188813867206627 -4.028624883075194 -0.31888138672066296 0.06326308955010079 -0.004120773441793715 0.06326308955011724 -0.004120773441792774
0.006 -4.018028693002028 -0.38168292222479316 -4.018028693002044 -0.3816829222247953 0.06329585139072173 -0.0049452719731546465 0.0632958513907218 -0.004945271973155287
0.007 -4.005575999255491 -0.44396032952694964 -4.00557599925549 -0.44396032952694936 0.06333459589132877 -0.005769957741907609 0.06333459589134507 -0.005769957741905595
0.008 -3.9913009818853107 -0.5056324392850743 -3.9913009818853027 -0.5056324392850728 0.06337933605768403 -0.006594861692090348 0.0633793360577084 -0.006594861692086898
0.009 -3.975242435996101 -0.5666208255102635 -3.9752424359960967 -0.5666208255102643 0.0634300869155366 -0.007420014645575417 0.06343008691555706 -0.007420014645573944
0.01 -3.9574435122054155 -0.6268501207798313 -3.9574435122054155 -0.6268501207798305 0.06348686551886373 -0.008245447283788341 0.06348686551887975 -0.00824544728378504
0.011 -3.937951432754003 -0.6862483033728528 -3.9379514327539784 -0.6862483033728488 0.06354969095918372 -0.009071190129082758 0.06354969095922391 -0.00907119012907609
0.012 -3.916817186660181 -0.7447469543324348 -3.9168171866601806 -0.7447469543324344 0.06361858437609899 -0.009897273525736903 0.06361858437611494 -0.009897273525733705
0.013 -3.8940952074668487 -0.8022814829076479 -3.894095207466837 -0.8022814829076451 0.06369356896863272 -0.010723727620551625 0.06369356896866042 -0.010723727620545633
0.014 -3.8698430372204906 -0.8587913192844717 -3.8698430372204706 -0.8587913192844674 0.06377467000807938 -0.011550582342933585 0.06377467000811492 -0.011550582342925997
0.015 -3.8441209803522196 -0.9142200739700187 -3.8441209803522076 -0.9142200739700157 0.06386191485171457 -0.012377867384495441 0.06386191485174199 -0.01237786738448892
0.016 -3.816991751098903 -0.9685156636381671 -3.8169917510988833 -0.968515663638162 0.06395533295767061 -0.013205612178087554 0.06395533295770559 -0.013205612178078623
0.017 -3.788520118015088 -1.0216304036696455 -3.788520118015088 -1.0216304036696453 0.06405495590106351 -0.014033845876190394 0.064054955901079 -0.014033845876186436
0.018 -3.7587725489878463 -1.073521068018234 -3.7587725489878383 -1.0735210680182325 0.0641608173910303 -0.014862597328699259 0.06416081739105348 -0.014862597328693453
