# 15 态等权光电导统计量；eta=0.065 M=600
# omega mean_Re_total mean_Im_total mean_Re_regular mean_Im_regular mean_Re_drude mean_Im_drude std_Re_total std_Im_total std_Re_regular std_Im_regular std_Re_drude std_Im_drude min_Re_total min_Im_total min_Re_regular min_Im_regular min_Re_drude min_Im_drude max_Re_total max_Im_total max_Re_regular max_Im_regular max_Re_drude max_Im_drude
0 -6.031808816877771 0 0.02881702089772348 0 -6.060625837775493 0 0.814598096564645 0 0.006383944319596067 0 0.8193855322115585 0 -6.650353233699293 -0 0.01957276467463453 -0 -6.685646516604278 -0 -4.171941669065449 -0 0.03661108844164727 -0 -4.191514433740084 -0
0.002 -6.026076174316525 -0.1871867488626232 0.02881722000872124 -0.0008823367295387476 -6.054893394325245 -0.1863044121330845 0.8138230147035376 0.0253342981586582 0.006384064270601198 0.0001938061792289171 0.8186105163381026 0.02518801588732623 -6.644029325132106 -0.2065972701863852 0.01957282404431677 -0.001118610532716 -6.679322897293232 -0.2055176276090225 -4.167977065421717 -0.1294486399531424 0.03661146889701286 -0.0006009510464952819 -4.187549889466033 -0.1288476889066472
0.004 -6.008943126898703 -0.37331920495364 0.02881781736006876 -0.001764685306946195 -6.037760944258774 -0.3715545196466937 0.8115065408128863 0.05052606261545989 0.006384424140703721 0.0003876193710532057 0.8162942404135429 0.05023349171775648 -6.625129170667839 -0.4120315245792665 0.01957300215473577 -0.00223724235445314 -6.660423610623219 -0.4098722221921981 -4.156128125539642 -0.2581681289590925 0.03661261031149054 -0.001201905716361654 -4.175701127694377 -0.2569662232427309
0.006 -5.980602488237364 -0.5573628700036533 0.02881881300681769 -0.002647057581113449 -6.00942130124418 -0.55471581242254 0.8076747429386646 0.07543543584977147 0.006385023981161292 0.0005814465889885665 0.8124627724932729 0.07499656361476363 -6.593865468399691 -0.615161583256605 0.01957329901005559 -0.003355916756516546 -6.629161354764861 -0.6119225865936795 -4.136528198889933 -0.3854430059007438 0.0366145128303537 -0.001802867633052458 -4.156101497899988 -0.3836401382676913
0.008 -5.941369619166172 -0.7383220593976707 0.02882020704074309 -0.003529465402973476 -5.970189826206915 -0.7347925939946972 0.8023702572857029 0.09992780787750084 0.006385863877432675 0.0007752948483910932 0.8071587487978165 0.09934261523665433 -6.550586101689344 -0.8148890827289105 0.01957371461718209 -0.004474655034779999 -6.585884013208923 -0.810570340087252 -4.109395388332655 -0.5105846530909337 0.0366171766957446 -0.00240384042018461 -4.128969102949837 -0.5081808126707491
0.01 -5.891673761011123 -0.9152574222575276 0.02882199959036929 -0.004411920626528672 -5.920495760601493 -0.9108455016309989 0.7956511164918945 0.1238761849349252 0.006386943949188619 0.0009691711673793326 0.8004402019870139 0.1231446464595406 -6.495764578655677 -1.010177802834389 0.0195742489857948 -0.005593478491971754 -6.531065094255045 -1.004779245270007 -4.075026556228506 -0.6329434131192103 0.03662060224674837 -0.003004827701625629 -4.094600805214301 -0.6299385854175847
0.012 -5.83204652664329 -1.087301336795578 0.02882419082099511 -0.005294435109864362 -5.860870717464284 -1.082006901685714 0.7875891936395897 0.1471632709030781 0.006388264350356256 0.001163082567755003 0.7923790051713975 0.1462853548008734 -6.429987336331958 -1.200070649786167 0.01957490212835935 -0.006712408439960865 -6.465291035168934 -1.193592191108111 -4.033789364878245 -0.7519192362412473 0.03662478991958044 -0.003605833101566566 -4.053364267006604 -0.7483134031396808
0.014 -5.763108112664333 -1.253670690106751 0.02882678093472903 -0.006177020716183854 -5.791934893599064 -1.247493669390568 0.7782683381683113 0.1696831951129872 0.006389825269170196 0.001357036075926555 0.7830590078248892 0.1686588632238223 -6.353938530940509 -1.38370375392003 0.01957567406007832 -0.007831466202047431 -6.389245992457153 -1.376145290683079 -3.986112740903018 -0.8669705188520516 0.03662974024758832 -0.004206860244615284 -4.005688414963097 -0.8627636586074363
0.016 -5.685551877810111 -1.413676710356226 0.0288297701705762 -0.007059689314826221 -5.714381647980685 -1.4066170210414 0.767782290903169 0.1913428416401904 0.006391626928224094 0.001551038723833026 0.7725739508131747 0.1901720494309352 -6.268383025896828 -1.560317315857039 0.01957656479894793 -0.008950673115254279 -6.30369482987125 -1.551678727352923 -3.932476209704924 -0.9776209034029805 0.03663545386154347 -0.004807912755873539 -3.952052774503872 -0.9728129906471069
0.018 -5.600127967729168 -1.566731687822377 0.02883315880445695 -0.007942452782296648 -5.628961126533625 -1.558789235040081 0.7562324701548896 0.2120627579781746 0.0063936695845443 0.001745097549870911 0.7610252524936987 0.2107454545367166 -6.174148327842964 -1.729263020675032 0.01957757436573675 -0.01007005053263314 -6.209465054441212 -1.719544168922182 -3.873398570402752 -1.083463926658443 0.03664193148979659 -0.00540899426101529 -3.892976144768489 -1.078054932397427
0.02 -5.50762665600776 -1.712352585513158 0.02883694714931107 -0.008825323003289526 -5.536463603157072 -1.703527262509868 0.7437257194569049 0.2317776431878276 0.006395953529679981 0.001939219599815924 0.7485197564527213 0.230313771216222 -6.072106209664472 -1.890008020881247 0.01957870278395779 -0.011189619825538 -6.107428439492557 -1.879208750613094 -3.809426374524551 -1.184165516789001 0.03664917395849004 -0.0060101083863825 -3.829005077308509 -1.178155408402618
0.022 -5.408862021081376 -1.850161687964095 0.02884113555516354 -0.009708311871728383 -5.437703156636539 -1.840453376092367 0.7303721007137147 0.2504364356144705 0.006398479089762653 0.002133411927764242 0.7351675246536071 0.2488259314212208 -5.963154704033307 -2.042135652119966 0.01957995007995214 -0.01230940238597251 -5.998483018189228 -2.030255790771738 -3.741122636998377 -1.279464442077865 0.03665718219182108 -0.006611258759045812 -3.76070258707833 -1.272853183318819
0.024 -5.304656496919967 -1.979884559167183 0.02884572440922518 -0.01059143129178835 -5.333502221329194 -1.969293127875395 0.7162828054818181 0.2680020368042952 0.006401246625650075 0.002327681597050648 0.7210797487177326 0.2662448302957784 -5.848201060834863 -2.185343180506855 0.01958131628277861 -0.01342941962885393 -5.883536040960856 -2.172382538200932 -3.669056151443081 -1.369170898628774 0.03666595721235066 -0.007212449006917902 -3.68863746772586 -1.361958449621856
0.026 -5.195826732222198 -2.101345671722211 0.02885071413598688 -0.01147469317893759 -5.224677446358184 -2.089870978543273 0.7015682431587272 0.28445072057435 0.006404256533006174 0.002522035681193018 0.7063668381134128 0.2825467352453651 -5.72814614804818 -2.319436981023436 0.01958280142433498 -0.01454969299436851 -5.763488376382998 -2.305395350553199 -3.593791710420565 -1.453163487496759 0.03667550014135079 -0.007813682758798941 -3.6133745118449 -1.44534980473796
0.028 -5.083171078791772 -2.214462127179357 0.0288561051973395 -0.01235810946097032 -5.112027183989112 -2.202104017718386 0.6863363494343919 0.2997712840150661 0.006407509242438626 0.002716481264826149 0.691136728607274 0.297720436938518 -5.603870649822594 -2.444325610251029 0.0195844055392609 -0.01567024395026067 -5.639220709253958 -2.429202767063243 -3.515881452426771 -1.5313848716914 0.0366858121990947 -0.00841496364449399 -3.535465857966032 -1.522969908046906
0.03 -4.967458914512481 -2.319235913281437 0.02886189809268118 -0.0132416920790537 -4.996320812605163 -2.305994221202383 0.6706911427770421 0.3139640006842978 0.006411005219634397 0.002911025444641031 0.6754934387500167 0.3117662025000078 -5.476223288351699 -2.56001126511762 0.01958612866499615 -0.01679109399420201 -5.511581762468893 -2.543806967293335 -3.435857477686585 -1.603836421303298 0.03669689470529218 -0.009016295294876173 -3.455443606351581 -1.594820126008422
0.032 -4.849421897991943 -2.415745141038492 0.02886809335906825 -0.01412545298876265 -4.878289991351012 -2.401619688049729 0.6547315420771095 0.3270394358765666 0.006414744965502359 0.003105675330329979 0.6595358875202584 0.324694590779204 -5.346011176625352 -2.666580116269168 0.01958797084178609 -0.01791226465608434 -5.381378649771971 -2.649294104503124 -3.354225799886325 -1.670572153085037 0.0367087490794956 -0.009617681341966925 -3.373813770728111 -1.66095447174307
0.034 -4.729747156524081 -2.50413467854951 0.02887469157134047 -0.01500940416113569 -4.758621848095421 -2.489125274388374 0.6385504456723133 0.3390171803336191 0.006418729016333821 0.0033004380455339 0.6433569733495328 0.3365251860597557 -5.213992303879825 -2.764191975975728 0.01958993211264675 -0.01903377750039779 -5.249369361206667 -2.745823973554257 -3.271461634984891 -1.731692252823903 0.03672137684157313 -0.01021912541903676 -3.291051567097538 -1.721473127404866
0.036 -4.609072330313123 -2.584606555300557 0.02888169334227638 -0.01589355758372048 -4.637954023655399 -2.568712997716836 0.6222340613359201 0.3499245529238169 0.006422957943968694 0.003495320728791589 0.6270429041104575 0.3472853007380994 -5.080870068742094 -2.853069712843617 0.01959201252339292 -0.02015565412858024 -5.116257296260293 -2.833619425621085 -3.18800597381094 -1.787336438976617 0.03673477961213031 -0.01082063116067905 -3.207597986334333 -1.776515807815938
0.038 -4.487982335604289 -2.65741045644975 0.02888909932276352 -0.01677792526162796 -4.516871434927053 -2.640632531188122 0.6058614686580596 0.3597953154875974 0.006427432355969354 0.003690330534501918 0.6106727594979424 0.3570086901680279 -4.947289708548497 -2.933488765794688 0.01959421212265895 -0.02127791618135804 -4.982687693182762 -2.912955882168383 -3.104263343451843 -1.837677388538745 0.03674895911308994 -0.01142220220288179 -3.123857555574503 -1.826255186335863
0.04 -4.367007667412031 -2.722834566981051 0.02889691020195277 -0.01766251921859934 -4.395904577613985 -2.705172047762452 0.589504389577811 0.3686684349845505 0.006432152895824755 0.003885474633876769 0.5943182615611733 0.365734314806876 -4.813836427036508 -3.005767043995609 0.01959653096187617 -0.02240058534116545 -4.849245756678639 -2.984151234879162 -3.020600633424708 -1.882914404882562 0.03676391716821151 -0.01202384218312562 -3.040197164386584 -1.870890562699436
0.042 -4.246624037527209 -2.781196965311231 0.02890512670746475 -0.01854735149805681 -4.275529164234674 -2.762649613813174 0.5732271394425771 0.3765869199255654 0.006437120243147957 0.004080760215905668 0.5780437257628712 0.3735051766467782 -4.681034995020327 -3.070255432904451 0.01959896909528988 -0.02352368333448173 -4.716456258582914 -3.047556351699729 -2.937346845323119 -1.923267465595436 0.03677965570369405 -0.0126255547404638 -2.956945814418409 -1.910641910854972
0.044 -4.127253133140984 -2.832837708638763 0.02891374960556016 -0.01943243416417951 -4.156166882746544 -2.813405274474583 0.5570867295727938 0.3835967503272322 0.006442335113886965 0.004276194488330665 0.5619061635438786 0.3803672491681638 -4.549350587250164 -3.127329063397176 0.01960152657994885 -0.02464723193425537 -4.584784374720512 -3.103546345964654 -2.854793617479758 -1.958971748725256 0.03679617674874858 -0.01322734351560816 -2.874395144059707 -1.945744405209648
0.046 -4.009264283001922 -2.878111700600681 0.02892277970135161 -0.02031777930297988 -4.038187062703274 -2.857793921297701 0.5411330925234947 0.389745913432854 0.00644779826055306 0.004471784678620912 0.5459555075845821 0.386368513059858 -4.419190620396889 -3.177379443880007 0.01960420347574478 -0.02577125296231578 -4.454637522891196 -3.152512708507615 -2.773196377276795 -1.990272700068179 0.03681348243629601 -0.01382921215099792 -2.79280058075254 -1.976443487917181
0.048 -3.892976828661426 -2.91738238720832 0.02893221783902726 -0.02120339902337011 -3.921909046500454 -2.89617898818495 0.5254094026725072 0.3950835514152379 0.006453510472466938 0.004667538034944967 0.5302349323929905 0.3915581039209776 -4.29090736883945 -3.220807506099505 0.01960699984537559 -0.02689576829177158 -4.326367978657233 -3.194856353469957 -2.692775981093796 -2.017421673292144 0.03683157500364115 -0.01443116429090914 -2.712382980939172 -2.002990509001235
0.05 -3.778663015336085 -2.95101629025683 0.02894206490205103 -0.02208930545826386 -3.807605080238135 -2.928926984798566 0.5099524670599536 0.3996592223044406 0.006459472575996124 0.004863461827169768 0.5147812451440648 0.3959855731877424 -4.164801153656255 -3.258017574793464 0.01960991575437135 -0.02802079984948011 -4.200276064335029 -3.230981587950023 -2.613720713621369 -2.040672149255171 0.03685045679315365 -0.01503320358152495 -2.63333062937574 -2.025638945673646
0.052 -3.666551237805774 -2.979378358461003 0.02895232181343048 -0.02297551076564061 -3.695503559619204 -2.956402847695363 0.4947931642279157 0.4035222714705975 0.006465685434830009 0.005059563347843097 0.499625324519243 0.3997002596153944 -4.041123923266489 -3.289412239398672 0.01961295127112639 -0.02914636961844081 -4.076613729636755 -3.261290983709404 -2.53618853271673 -2.060276520861282 0.03687013025308272 -0.01563533367099717 -2.555801483987856 -2.044641187190285
0.054 -3.556829499555433 -3.002828094990189 0.02896298953593507 -0.02386202712966743 -3.585792489091368 -2.978966067860521 0.4799569118902841 0.406721308074509 0.006472149950247299 0.005255849913197874 0.4847925883761148 0.4027507657278491 -3.920083069306509 -3.315388082226297 0.01961610646685029 -0.03027249964032447 -3.955588367546993 -3.286181105346732 -2.460309461738143 -2.076483414872189 0.03689059793828447 -0.01623755820957958 -2.479925568204993 -2.060245856662609
0.056 -3.449648966466481 -3.021716405072176 0.02897406907236678 -0.02474886676178504 -3.478623035538848 -2.996967538310392 0.4654641473855469 0.4093037788702321 0.00647886706140759 0.005452328864155852 0.4703034742010372 0.4051845316193551 -3.801845346806584 -3.336332200965566 0.01961938141562512 -0.03139921201791111 -3.837366734499806 -3.306039032799833 -2.386188047269588 -2.089535511716925 0.03691186251110975 -0.01683988084966438 -2.405807428685213 -2.07269563086726
0.058 -3.34512751859761 -3.03638309795843 0.02898556146583117 -0.02563604190181971 -3.374113080063442 -3.01074705605661 0.4513308078712808 0.4113156304761407 0.006485837745648858 0.00564900756734402 0.4561739193034437 0.4070474972246113 -3.686540792259997 -3.352619453031827 0.01962277619438196 -0.03252652891759526 -3.722078868448158 -3.321239605692203 -2.313905815524139 -2.09966781785627 0.03693392674221014 -0.01744230524589808 -2.333528591718521 -2.082225512610372
0.06 -3.243353224161837 -3.04715497278388 0.02899746780001165 -0.02652356481909707 -3.272350691961848 -3.020631407964783 0.4375687999997266 0.4128010505874624 0.006493063018808415 0.005845893416104512 0.442415830491225 0.4083838435303613 -3.574266555864641 -3.364610344025103 0.019626290882907 -0.03365447257188139 -3.609821921105824 -3.332143311789991 -2.243523674938416 -2.107106341967254 0.0369567935114871 -0.01804483505526358 -2.263149965821323 -2.089061506911991
0.062 -3.144387678219238 -3.054344416736022 0.02900978919945912 -0.02741144781357255 -3.173397467418696 -3.026932968922449 0.4241864513031965 0.413802278452117 0.006500543935536287 0.006042993831537653 0.4290375354559222 0.4092358030502641 -3.465090584528688 -3.372649481331397 0.01962992556387697 -0.03478306528194575 -3.500663840953411 -3.339094740601715 -2.175084225204726 -2.112067125439502 0.03698046580897729 -0.01864747393714227 -2.194714150768603 -2.09341965150236
0.064 -3.048269164625623 -3.058248445573162 0.0290225268299065 -0.02829970321694908 -3.07729169145553 -3.029948742356213 0.4111889376840028 0.4143594751513409 0.006508281589645362 0.00624031626352702 0.4160442102624488 0.4096435301045647 -3.359055109904933 -3.377064515691807 0.01963368032284337 -0.03591232942015326 -3.394646861273053 -3.342421524945775 -2.108613944067477 -2.114755578799274 0.03700494673587335 -0.01925022555342005 -2.12824762439032 -2.095505353245854
0.066 -2.955015613358561 -3.059148120116451 0.02903568189857276 -0.02918834339382352 -2.984051295257133 -3.029959776722628 0.3985786832398006 0.414510644711294 0.006516277114461373 0.006437868191785356 0.403438279174203 0.4096450219307291 -3.256179910700118 -3.378165497518824 0.01963755524825045 -0.0370422874326384 -3.291790762458114 -3.342433697265161 -2.044125232603032 -2.115366078156018 0.03703023950551163 -0.01985309356856159 -2.063762787851282 -2.095512984587456
0.068 -2.864627336570782 -3.057308277224656 0.02904925565449288 -0.03007738074282955 -2.893676592225275 -3.027230896481827 0.3863557301732883 0.414291597732165 0.006524531683187561 0.006635657126908345 0.3912197845625307 0.4092760823115709 -3.156465330892255 -3.376244580127424 0.01964155043142322 -0.03817296184188368 -3.192095890230882 -3.339423392856923 -1.981618307467984 -2.114081779144483 0.03705634744442218 -0.02045608164971879 -2.001259857899407 -2.093625697494764
0.07000000000000001 -2.777089535772942 -3.052977519410502 0.02906324938886177 -0.03096682769779088 -2.806152785161804 -3.022010691712711 0.3745180777590388 0.4137359499851584 0.006533046509287975 0.006833690611436682 0.379386725873297 0.4085703201712431 -3.059895045474293 -3.371576008280915 0.0196456659666202 -0.03930437524932145 -3.095545921386638 -3.33366483841638 -1.92108293486098 -2.111074609742647 0.03708327399344986 -0.02105919346677021 -1.9407286008276 -2.090015416275877
