# sector=4 Eg=122.02344237108416 eta=0.065 area=25.98076211353316 Kexp=8.353797867517365 source_norm2=31.662828749860623 lattice=corrected Np=12 t1=1.0 t3=0.2 V1=10.0 V2=2.0 V3=2.0 requested_mmax=600 lanczos_steps=600 lanczos_breakdown=false residual=5.372506829458696e-13 drude_weight=-1.7715114638035736
# omega Re_total Im_total Re_regular Im_regular Re_drude Im_drude
0 -6.554499407518487 -0 0.03661108844161422 -0 -6.591110495960102 -0
0.002 -6.548264824655046 -0.2037297575520652 0.03661146889695997 -0.001118179288926568 -6.584876293552006 -0.2026115782631387
0.004 -6.529631635251254 -0.4063129498750134 0.03661261031145069 -0.002236380917308452 -6.566244245562705 -0.4040765689577049
0.006 -6.498809529749236 -0.6066245388499664 0.03661451283030709 -0.003354627227239252 -6.535424042579543 -0.6032699116227271
0.008 -6.456141472274099 -0.8035816973623597 0.03661717669569112 -0.004472940566077811 -6.49275864896979 -0.7991087567962819
0.01 -6.402094275309692 -0.9961628629131588 0.03662060224670743 -0.005591343289097121 -6.4387148775564 -0.9905715196240616
0.012 -6.337246083376744 -1.183424480524499 0.03662478991953266 -0.006709857762109459 -6.373870873296276 -1.17671462276239
0.014 -6.262271378375274 -1.364514901144421 0.03662974024753384 -0.007828506364123699 -6.298901118622808 -1.356686394780297
0.016 -6.177924208140603 -1.53868507444434 0.03663545386150083 -0.008947311489975579 -6.214559662002104 -1.529737762954364
0.018 -6.085020377903835 -1.705295858154297 0.03664193148975325 -0.01006629555299554 -6.121662309393589 -1.695229562601301
0.02 -5.984419333161877 -1.863821944716974 0.03664917395843375 -0.01118548098764731 -6.021068507120311 -1.852636463729326
0.022 -5.877006407834029 -2.013852566876315 0.03665718219175834 -0.0123048902522023 -5.913663590025788 -2.001547676624113
0.024 -5.763676022673434 -2.155089276866131 0.03666595721230474 -0.01342454583139621 -5.800341979885739 -2.141664731034735
0.026 -5.645316306720854 -2.287341192983988 0.03667550014130408 -0.01454447023912437 -5.681991806862158 -2.272796722744863
0.028 -5.522795490542306 -2.41051817027892 0.03668581219904703 -0.01566468602110619 -5.559481302741353 -2.394853484257813
0.03 -5.396950294647232 -2.524622380074113 0.03669689470524359 -0.0167852157575866 -5.433647189352476 -2.507837164316527
0.032 -5.268576418653724 -2.629738780026984 0.03670874907945142 -0.01790608206603615 -5.305285167733175 -2.611832697960948
0.034 -5.138421132995206 -2.72602492813385 0.03672137684152255 -0.01902730760386829 -5.175142509836729 -2.706997620529981
0.036 -5.007177889366622 -2.813700547120904 0.03673477961208386 -0.02014891507115931 -5.043912668978706 -2.793551632049744
0.038 -4.875482800532647 -2.89303718669857 0.03674895911304718 -0.02127092721339611 -4.912231759645694 -2.871766259485174
0.04 -4.743912794493876 -2.964348266308554 0.03676391716817235 -0.02239336682421666 -4.780676711662048 -2.941954899484338
0.042 -4.61298522080853 -3.027979715417579 0.03677965570364827 -0.02351625674817211 -4.649764876512178 -3.004463458669407
0.044 -4.483158675618026 -3.084301366100986 0.03679617674870632 -0.02463961988350626 -4.519954852366732 -3.05966174621748
0.046 -4.35483481364188 -3.133699196409488 0.03681348243625227 -0.02576347918496432 -4.391648296078132 -3.107935717224524
0.048 -4.228360926977023 -3.176568474513795 0.03683157500359154 -0.02688785766657204 -4.265192501980614 -3.149680616847224
0.05 -4.104033088995954 -3.213307813626848 0.03685045679310706 -0.02801277840449358 -4.140883545789061 -3.185295035222355
0.052 -3.982099684356788 -3.244314116227714 0.03687013025303087 -0.02913826453985958 -4.018969814609819 -3.215175851687855
0.054 -3.862765170922074 -3.269978362642505 0.03689059793823114 -0.03026433928163738 -3.899655768860305 -3.239714023360868
0.056 -3.746193944503128 -3.290682182721716 0.03691186251105946 -0.03139102590949339 -3.783105807014187 -3.259291156812223
0.058 -3.632514201526574 -3.306795139154997 0.03693392674216205 -0.03251834777674106 -3.669448128268736 -3.274276791378256
0.06 -3.521821717086829 -3.318672645788532 0.03695679351143769 -0.03364632831320923 -3.558778510598267 -3.285026317475323
0.062 -3.414183475872997 -3.326654443094072 0.03698046580892653 -0.03477499102823792 -3.451163941681923 -3.291879452065834
0.064 -3.309641110881218 -3.331063554705774 0.03700494673582801 -0.03590435951360615 -3.346646057617046 -3.295159195192168
0.066 -3.208214119593875 -3.332205652839746 0.03703023950546467 -0.03703445744657052 -3.24524435909934 -3.295171195393176
0.068 -3.109902839518154 -3.330368765722873 0.03705634744437684 -0.03816530859284023 -3.146959186962531 -3.292203457130032
0.07 -3.014691174821003 -3.32582326630208 0.03708327399340017 -0.03929693680964584 -3.051774448814403 -3.286526329492435
0.072 -2.922549073521564 -3.318822088027045 0.03711102270879412 -0.04042936604880223 -2.959660096230358 -3.278392721978243
0.074 -2.833434760579223 -3.309601120057586 0.03713959726341575 -0.04156262035981366 -2.870574357842639 -3.268038499697773
0.076 -2.747296736521402 -3.298379740595611 0.03716900144794515 -0.04269672389299085 -2.784465737969347 -3.255683016702621
0.078 -2.664075554254141 -3.285361453014144 0.0371992391721309 -0.04383170090261713 -2.701274793426272 -3.241529752111526
0.08 -2.583705388633326 -3.270734594949422 0.03723031446610352 -0.04496757575012474 -2.620935703099429 -3.225767019199298
0.082 -2.506115414461433 -3.254673095481755 0.03726223148170672 -0.04610437290733372 -2.543377645943139 -3.208568722574422
0.084 -2.431231009001487 -3.237337259938331 0.03729499449389737 -0.04724211695968015 -2.468526003495385 -3.190095142978651
0.086 -2.358974795026255 -3.218874565714829 0.03732860790218748 -0.04838083260950535 -2.396303402928443 -3.170493733105324
0.088 -2.289267539979067 -3.199420455857602 0.03736307623209841 -0.04952054467940827 -2.326630616211165 -3.149899911178193
0.09 -2.222028926121402 -3.179099120011417 0.03739840413672726 -0.05066127811554712 -2.259427330258129 -3.12843784189587
0.092 -2.157178205668965 -3.158024254763199 0.03743459639829284 -0.05180305799107944 -2.194612802067258 -3.106221196772119
0.094 -2.094634753940012 -3.136299797444346 0.03747165792978678 -0.05294590950956029 -2.132106411869799 -3.083353887934785
0.096 -2.034318532510953 -3.11402062914087 0.03750959377663262 -0.05408985800843569 -2.071828126287586 -3.059930771132434
0.098 -1.976150473333774 -3.091273244044312 0.03754840911842338 -0.05523492896253728 -2.013698882452197 -3.036038315081774
0.1 -1.920052793747332 -3.068136383399998 0.03758810927069444 -0.05638114798764893 -1.957640903018027 -3.011755235412349
0.102 -1.865949251330481 -3.044681633209614 0.03762869968677435 -0.05752854084407386 -1.903577951017256 -2.98715309236554
0.104 -1.813765346613415 -3.02097398555721 0.03767018595964786 -0.05867713344031023 -1.851435532573063 -2.9622968521169
0.106 -1.763428480792944 -2.997072363981133 0.03771257382392725 -0.05982695183669711 -1.801141054616871 -2.937245412144435
0.108 -1.714868074792796 -2.973030113736365 0.03775586915782613 -0.0609780222491778 -1.752623943950622 -2.912052091487187
0.11 -1.668015655272431 -2.948895458104493 0.03780007798523733 -0.06213037105305411 -1.705815733257668 -2.886765087051439
0.112 -1.622804912517408 -2.924711922132491 0.03784520647784764 -0.06328402478681983 -1.660650118995255 -2.861427897345671
0.114 -1.579171734538386 -2.900518725333108 0.03789126095731306 -0.06443901015603616 -1.617062995495699 -2.836079715177072
0.116 -1.53705422116146 -2.876351144973254 0.03793824789749734 -0.06559535403726736 -1.574992469058958 -2.810755790935986
0.118 -1.496392681405809 -2.852240851624301 0.03798617392679539 -0.06675308348203443 -1.534378855332605 -2.785487768142266
0.12 -1.45712961701149 -2.828216218659904 0.03803504583046675 -0.06791222572090859 -1.495164662841956 -2.760303992938996
0.122 -1.419209694595847 -2.804302607370194 0.03808487055311034 -0.06907280816753454 -1.457294565148958 -2.735229799202659
0.124 -1.382579708577814 -2.780522629324224 0.03813565520114762 -0.07023485842281962 -1.420715363778962 -2.710287770901405
0.126 -1.347188536710207 -2.756896387559235 0.0381874070453986 -0.07139840427913657 -1.385375943755606 -2.685497983280098
0.128 -1.312987089797701 -2.733441698111404 0.03824013352373265 -0.07256347372457995 -1.351227223321434 -2.660878224386824
0.13 -1.279928256948242 -2.710174293331356 0.038293842243778 -0.07373009494731488 -1.31822209919202 -2.636444198384041
0.132 -1.247966847504801 -2.687108008351482 0.03834854098572636 -0.07489829633994831 -1.286315388490528 -2.612209712011533
0.134 -1.217059530629478 -2.664254951993942 0.03840423770519673 -0.07606810650399602 -1.255463768334675 -2.588186845489946
0.136 -1.187164773359835 -2.641625663329159 0.03846094053618317 -0.07723955425441263 -1.225625713896018 -2.564386109074746
0.138 -1.15824277782547 -2.619229255016473 0.03851865779408489 -0.07841266862418655 -1.196761435619555 -2.540816586392287
0.14 -1.130255418198789 -2.597073544482301 0.03857739797881587 -0.07958747886899856 -1.168832816177605 -2.517486065613303
