# sector=12 Eg=157.35553003314317 eta=0.065 area=25.98076211353316 Kexp=9.77792372718546 source_norm2=33.58779786314501 lattice=corrected Np=13 t1=1.0 t3=0.2 V1=10.0 V2=2.0 V3=2.0 requested_mmax=600 lanczos_steps=600 lanczos_breakdown=false residual=5.69758104823298e-13 drude_weight=-4.888351330592577
# omega Re_total Im_total Re_regular Im_regular Re_drude Im_drude
0 -18.08840982960695 -0 0.09925896133111993 -0 -18.18766879093807 -0
0.002 -18.07120360073665 -0.5620682233421253 0.09926238217026638 -0.002976962329604742 -18.17046598290692 -0.5590912610125205
0.004 -18.01977961521825 -1.120972693976162 0.0992726464448847 -0.005954093258430301 -18.11905226166313 -1.115018600717731
0.006 -17.93471649302693 -1.673609061669482 0.09928975942867754 -0.008931561442810803 -18.03400625245561 -1.664677500226672
0.008 -17.81696060948857 -2.216989454349499 0.09931372991766609 -0.01190953565334707 -17.91627433940623 -2.205079918696152
0.01 -17.66780008680335 -2.748295055146484 0.09934457024019644 -0.01488818483209168 -17.76714465704354 -2.733406870314392
0.012 -17.48883025619282 -3.264922303219931 0.09938229627075508 -0.01786767814973355 -17.58821255246357 -3.247054625070198
0.014 -17.28191228126352 -3.764521245400788 0.09942692744793762 -0.02084818506293629 -17.38133920871146 -3.743673060337851
0.016 -17.04912687845991 -4.245025042204034 0.09947848679635844 -0.02382987537172167 -17.14860536525627 -4.221195166832312
0.018 -16.79272517572641 -4.704670137434212 0.09953700095272124 -0.02681291927691565 -16.89226217667913 -4.677857218157296
0.02 -16.51507871963399 -5.14200709353932 0.09960250019591828 -0.02979748743780753 -16.61468121982991 -5.112209606101512
0.022 -16.21863049048289 -5.555902538679345 0.09967501848150542 -0.0327837510298571 -16.3183055089644 -5.523118787649488
0.024 -15.90584853955731 -5.945533038616425 0.09975459348025856 -0.03577188180255533 -16.00560313303756 -5.90976115681387
0.026 -15.57918355315314 -6.310371980047219 0.09984126662105641 -0.03876205213753944 -15.6790248197742 -6.27160992790968
0.028 -15.24103130570443 -6.650170725685168 0.09993508313831886 -0.04175443510675217 -15.34096638884275 -6.608416290578416
0.03 -14.89370061845448 -6.964935378643891 0.1000360921237303 -0.04474920453087032 -14.99373671057822 -6.920186174113021
0.032 -14.53938711497436 -7.25490048534294 0.1001443465827688 -0.04774653503789445 -14.63953146155712 -7.207153950305046
0.034 -14.18015277848039 -7.520500928078694 0.1002599034957017 -0.05074660212196899 -14.28041268197609 -7.469754325956725
0.036 -13.81791107970516 -7.762343128805331 0.1003828238835654 -0.05374958220234643 -13.91829390358872 -7.708593546602985
0.038 -13.45441726312619 -7.981176522962598 0.100513172878992 -0.05675565268264818 -13.55493043600518 -7.92442087027995
0.04 -13.09126325345343 -8.177866083244455 0.1006510198020801 -0.0597649920102965 -13.19191427325551 -8.118101091234159
0.042 -12.72987656922438 -8.353366492252595 0.1007964382415322 -0.06277777973615806 -12.83067300746591 -8.290588712516437
0.044 -12.37152259931469 -8.508698391036791 0.100949506141142 -0.06579419657438745 -12.47247210545583 -8.442904194462404
0.046 -12.01730960291026 -8.644926975307047 0.1011103058917137 -0.06881442446257076 -12.11841990880198 -8.576112550844476
0.048 -11.66819582541244 -8.763143077273945 0.1012789244287875 -0.07183864662196454 -11.76947474984122 -8.69130443065198
0.05 -11.32499817368431 -8.864446760710692 0.1014554533362671 -0.0748670476179433 -11.42645362702057 -8.789579713092749
0.052 -10.98840195673794 -8.949933369975859 0.1016399889560063 -0.07789981342070376 -11.09004194569395 -8.872033556555156
0.054 -10.65897126634976 -9.020681908975156 0.1018326325038066 -0.08093713146603614 -10.76080389885357 -8.939744777509119
0.056 -10.33715964140887 -9.077745581018487 0.1020334901919131 -0.08397919071627713 -10.43919313160078 -8.993766390302209
0.058 -10.02332072652491 -9.122144292386361 0.1022426733582573 -0.08702618172138267 -10.12556339988317 -9.035118110664978
0.06 -9.717718697143392 -9.15485890813798 0.1024602986027235 -0.09007829668002752 -9.820178995746115 -9.064780611457952
